ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11221611,JB139411,2/3/2018 0:26,046XX W MONROE ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,1113,11,28,25,08B,1145407,1899159,2018,5/4/2018 15:51,41.87929042,-87.74155445,"(41.879290415, -87.74155445)"
11221678,JB139473,2/3/2018 2:10,039XX S WENTWORTH AVE,460,BATTERY,SIMPLE,SIDEWALK,FALSE,FALSE,925,9,3,37,08B,1175580,1879076,2018,5/4/2018 15:51,41.82355685,-87.63136746,"(41.823556849, -87.631367455)"
11221737,JB139513,2/3/2018 3:26,055XX W POTOMAC AVE,560,ASSAULT,SIMPLE,APARTMENT,FALSE,TRUE,2532,25,37,25,08A,1139090,1908109,2018,5/4/2018 15:51,41.90396752,-87.7645319,"(41.903967515, -87.764531903)"
11221740,JB139533,2/3/2018 4:50,018XX S HARDING AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,FALSE,TRUE,1014,10,24,29,08B,1150351,1890652,2018,5/4/2018 15:51,41.85585124,-87.7236226,"(41.855851238, -87.723622599)"
11221800,JB139583,2/3/2018 1:00,092XX S SAGINAW AVE,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,FALSE,TRUE,423,4,7,48,26,1195488,1844215,2018,5/4/2018 15:51,41.72742645,-87.55948444,"(41.727426452, -87.559484437)"
11221870,JB139703,2/3/2018 3:00,039XX W MONROE ST,820,THEFT,$500 AND UNDER,RESIDENCE,FALSE,FALSE,1122,11,28,26,6,1150178,1899372,2018,5/4/2018 15:51,41.8797833,-87.72403042,"(41.879783301, -87.724030421)"
11221879,JB139683,2/3/2018 10:10,067XX S JEFFERY BLVD,560,ASSAULT,SIMPLE,OTHER,FALSE,FALSE,331,3,5,43,08A,1190703,1860780,2018,5/4/2018 15:51,41.77299898,-87.57647854,"(41.772998982, -87.576478539)"
11221928,JB139813,2/3/2018 11:52,007XX N TRUMBULL AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,TRUE,FALSE,1121,11,27,23,18,1153244,1904783,2018,5/4/2018 15:51,41.89457135,-87.7126287,"(41.89457135, -87.712628702)"
11221930,JB139772,2/3/2018 10:51,001XX N LATROBE AVE,470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,RESIDENCE PORCH/HALLWAY,TRUE,FALSE,1523,15,28,25,24,1141354,1900640,2018,5/4/2018 15:51,41.88343019,-87.75640003,"(41.883430189, -87.756400033)"
11221931,JB139819,2/3/2018 11:51,052XX S ST LOUIS AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,822,8,14,63,08B,1153935,1869597,2018,5/4/2018 15:51,41.79800301,-87.71102727,"(41.798003012, -87.711027266)"
11221952,JB139888,2/3/2018 5:00,049XX W ROSCOE ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1634,16,38,15,14,1142832,1922151,2018,5/4/2018 15:51,41.9424313,-87.75043581,"(41.9424313, -87.750435808)"
11221970,JB139827,2/3/2018 11:50,003XX E 116TH ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,532,5,9,53,08B,1180335,1827746,2018,5/4/2018 15:51,41.68259373,-87.61549442,"(41.682593729, -87.615494424)"
11221972,JB139794,2/3/2018 10:00,108XX S PERRY AVE,496,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,RESIDENCE,FALSE,FALSE,513,5,34,49,04B,1177518,1833262,2018,5/4/2018 15:51,41.69779439,-87.62564041,"(41.69779439, -87.625640407)"
11221982,JB139756,2/3/2018 7:00,061XX S MOZART ST,820,THEFT,$500 AND UNDER,RESIDENCE,FALSE,FALSE,823,8,15,66,6,1158432,1863828,2018,5/4/2018 15:51,41.78208156,-87.69469301,"(41.782081558, -87.694693009)"
11221986,JB139855,2/3/2018 12:35,014XX S KOSTNER AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,FALSE,1011,10,24,29,14,1147287,1892654,2018,5/4/2018 15:51,41.86140413,-87.73481787,"(41.861404132, -87.734817871)"
11221990,JB139924,2/3/2018 11:59,082XX S BUFFALO AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,FALSE,FALSE,424,4,10,46,26,1199578,1850793,2018,5/4/2018 15:51,41.7453751,-87.54428158,"(41.745375095, -87.544281577)"
11221992,JB139830,2/3/2018 9:56,001XX N LONG AVE,1822,NARCOTICS,MANU/DEL:CANNABIS OVER 10 GMS,RESIDENCE,TRUE,FALSE,1523,15,28,25,18,1140317,1900452,2018,5/4/2018 15:51,41.88293336,-87.76021264,"(41.88293336, -87.760212636)"
11222014,JB139962,2/3/2018 13:42,040XX S DEARBORN ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,FALSE,FALSE,213,2,3,38,26,1176636,1878146,2018,5/4/2018 15:51,41.82098111,-87.62752143,"(41.82098111, -87.627521433)"
11222016,JB139783,2/3/2018 12:02,021XX E 82ND ST,4651,OTHER OFFENSE,SEX OFFENDER: FAIL REG NEW ADD,APARTMENT,FALSE,FALSE,414,4,8,46,26,1192055,1851027,2018,5/4/2018 15:51,41.74620321,-87.57183902,"(41.746203207, -87.571839016)"
11222017,JB139747,2/3/2018 11:29,078XX S CORNELL AVE,4650,OTHER OFFENSE,SEX OFFENDER: FAIL TO REGISTER,APARTMENT,FALSE,FALSE,411,4,8,43,26,1188598,1853329,2018,5/4/2018 15:51,41.75260337,-87.58443261,"(41.752603365, -87.584432605)"
11222018,JB139922,2/3/2018 11:05,086XX S BALTIMORE AVE,4650,OTHER OFFENSE,SEX OFFENDER: FAIL TO REGISTER,APARTMENT,FALSE,FALSE,424,4,7,46,26,1198294,1848285,2018,5/4/2018 15:51,41.73852517,-87.54907001,"(41.738525169, -87.549070014)"
11222020,JB139938,2/3/2018 11:05,086XX S BALTIMORE AVE,4650,OTHER OFFENSE,SEX OFFENDER: FAIL TO REGISTER,APARTMENT,FALSE,FALSE,424,4,7,46,26,1198294,1848285,2018,5/4/2018 15:51,41.73852517,-87.54907001,"(41.738525169, -87.549070014)"
11222023,JB139952,2/3/2018 13:50,111XX S VINCENNES AVE,1330,CRIMINAL TRESPASS,TO LAND,GAS STATION,TRUE,FALSE,2234,22,34,75,26,1166985,1830593,2018,5/4/2018 15:51,41.69070123,-87.66428259,"(41.690701233, -87.664282585)"
11222026,JB139941,2/3/2018 11:00,086XX S BALTIMORE AVE,4650,OTHER OFFENSE,SEX OFFENDER: FAIL TO REGISTER,APARTMENT,FALSE,FALSE,424,4,7,46,26,1198294,1848285,2018,5/4/2018 15:51,41.73852517,-87.54907001,"(41.738525169, -87.549070014)"
11222040,JB139990,2/3/2018 2:00,037XX N DAMEN AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,1921,19,47,5,7,1162345,1925001,2018,5/4/2018 15:51,41.94986535,-87.67863642,"(41.949865347, -87.678636424)"
11222041,JB139998,2/3/2018 14:50,008XX W NORTH AVE,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,FALSE,FALSE,1813,18,43,7,6,1170509,1910868,2018,5/4/2018 15:51,41.9109087,-87.64904131,"(41.910908703, -87.649041307)"
11222042,JB139984,2/3/2018 1:00,014XX N WELLS ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,HOTEL/MOTEL,FALSE,FALSE,1821,18,27,8,11,1174440,1909987,2018,5/4/2018 15:51,41.90840423,-87.6346267,"(41.90840423, -87.6346267)"
11222084,JB139974,2/3/2018 11:00,055XX S UNIVERSITY AVE,890,THEFT,FROM BUILDING,ATHLETIC CLUB,FALSE,FALSE,235,2,5,41,6,1184728,1868434,2018,5/4/2018 15:51,41.79414442,-87.59814117,"(41.794144419, -87.59814117)"
11222085,JB140045,2/3/2018 14:56,008XX N HOMAN AVE,3731,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,SIDEWALK,TRUE,FALSE,1121,11,27,23,24,1153561,1905294,2018,5/4/2018 15:51,41.89596729,-87.71145084,"(41.895967285, -87.711450843)"
11222126,JB140126,2/3/2018 6:00,009XX W KINZIE ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,1214,12,27,28,7,1170247,1902888,2018,5/4/2018 15:51,41.88901683,-87.65023722,"(41.889016829, -87.650237219)"
11222168,JB140154,2/3/2018 3:00,021XX N LOCKWOOD AVE,930,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,RESIDENCE,FALSE,FALSE,2515,25,37,19,7,1140703,1913794,2018,5/4/2018 15:51,41.91953829,-87.75846691,"(41.919538291, -87.758466906)"
11222171,JB140167,2/3/2018 9:00,003XX W 64TH ST,281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,HOSPITAL BUILDING/GROUNDS,TRUE,FALSE,722,7,20,68,2,,,2018,11/20/2018 16:14,,,
11222213,JB140137,2/3/2018 16:25,009XX W BELMONT AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,TRUE,FALSE,1933,19,44,6,7,1169596,1921441,2018,5/4/2018 15:51,41.93994148,-87.65208674,"(41.93994148, -87.652086737)"
11222215,JB140207,2/3/2018 9:00,009XX W DIVERSEY PKWY,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1933,19,44,6,6,1169653,1918792,2018,5/4/2018 15:51,41.93267126,-87.65195463,"(41.932671263, -87.651954627)"
11222217,JB140073,2/3/2018 15:10,021XX W DIVISION ST,031A,ROBBERY,ARMED: HANDGUN,ALLEY,FALSE,FALSE,1424,14,32,24,3,1161850,1907964,2018,5/4/2018 15:51,41.90312507,-87.68093248,"(41.90312507, -87.680932478)"
