Date,Block,Primary Type,Location Description,Arrest,Year
2/3/2018 0:26,046XX W MONROE ST,BATTERY,RESIDENCE,False,2018
2/3/2018 2:10,039XX S WENTWORTH AVE,BATTERY,SIDEWALK,False,2018
2/3/2018 3:26,055XX W POTOMAC AVE,ASSAULT,APARTMENT,False,2018
2/3/2018 4:50,018XX S HARDING AVE,BATTERY,VEHICLE NON-COMMERCIAL,False,2018
2/3/2018 1:00,092XX S SAGINAW AVE,OTHER OFFENSE,STREET,False,2018
2/3/2018 3:00,039XX W MONROE ST,THEFT,RESIDENCE,False,2018
2/3/2018 10:10,067XX S JEFFERY BLVD,ASSAULT,OTHER,False,2018
2/3/2018 11:52,007XX N TRUMBULL AVE,NARCOTICS,SIDEWALK,True,2018
2/3/2018 10:51,001XX N LATROBE AVE,PUBLIC PEACE VIOLATION,RESIDENCE PORCH/HALLWAY,True,2018
2/3/2018 11:51,052XX S ST LOUIS AVE,BATTERY,RESIDENCE,False,2018
2/3/2018 5:00,049XX W ROSCOE ST,CRIMINAL DAMAGE,STREET,False,2018
2/3/2018 11:50,003XX E 116TH ST,BATTERY,APARTMENT,False,2018
2/3/2018 10:00,108XX S PERRY AVE,BATTERY,RESIDENCE,False,2018
2/3/2018 7:00,061XX S MOZART ST,THEFT,RESIDENCE,False,2018
2/3/2018 12:35,014XX S KOSTNER AVE,CRIMINAL DAMAGE,APARTMENT,False,2018
2/3/2018 11:59,082XX S BUFFALO AVE,OTHER OFFENSE,RESIDENCE,False,2018
2/3/2018 9:56,001XX N LONG AVE,NARCOTICS,RESIDENCE,True,2018
2/3/2018 13:42,040XX S DEARBORN ST,OTHER OFFENSE,RESIDENCE,False,2018
2/3/2018 12:02,021XX E 82ND ST,OTHER OFFENSE,APARTMENT,False,2018
2/3/2018 11:29,078XX S CORNELL AVE,OTHER OFFENSE,APARTMENT,False,2018
2/3/2018 11:05,086XX S BALTIMORE AVE,OTHER OFFENSE,APARTMENT,False,2018
2/3/2018 11:05,086XX S BALTIMORE AVE,OTHER OFFENSE,APARTMENT,False,2018
2/3/2018 13:50,111XX S VINCENNES AVE,CRIMINAL TRESPASS,GAS STATION,True,2018
2/3/2018 11:00,086XX S BALTIMORE AVE,OTHER OFFENSE,APARTMENT,False,2018
